ano,mes,localidade_codigo,localidade,indice,unidade,valor,data
2025,4,1,Brasil,IPCA,%,5.53,2025-04-01
2025,4,1,Brasil,IPCA,%,2.48,2025-04-01
2025,4,1,Brasil,IPCA,%,3.41,2025-04-01
2025,4,1,Brasil,IPCA,%,0.43,2025-04-01
2025,4,1,Brasil,IPCA,%,7276.54,2025-04-01
2025,4,1,Brasil,IPCA,%,2.32,2025-04-01
2025,5,1,Brasil,IPCA,%,7295.46,2025-05-01
2025,5,1,Brasil,IPCA,%,0.26,2025-05-01
2025,5,1,Brasil,IPCA,%,1.26,2025-05-01
2025,5,1,Brasil,IPCA,%,3.28,2025-05-01
2025,5,1,Brasil,IPCA,%,2.75,2025-05-01
2025,5,1,Brasil,IPCA,%,5.32,2025-05-01
2025,6,1,Brasil,IPCA,%,5.35,2025-06-01
2025,6,1,Brasil,IPCA,%,2.99,2025-06-01
2025,6,1,Brasil,IPCA,%,2.99,2025-06-01
2025,6,1,Brasil,IPCA,%,0.24,2025-06-01
2025,6,1,Brasil,IPCA,%,7312.97,2025-06-01
2025,6,1,Brasil,IPCA,%,0.93,2025-06-01
2025,7,1,Brasil,IPCA,%,3.26,2025-07-01
2025,7,1,Brasil,IPCA,%,7331.98,2025-07-01
2025,7,1,Brasil,IPCA,%,0.26,2025-07-01
2025,7,1,Brasil,IPCA,%,0.76,2025-07-01
2025,7,1,Brasil,IPCA,%,3.1,2025-07-01
2025,7,1,Brasil,IPCA,%,5.23,2025-07-01
